external-hard-drive,cpu,wired-network-card,webcam,internal-hard-drive,case-accessory,memory,case,headphones,keyboard,fan-controller,optical-drive,os,sound-card,mouse,wireless-network-card,thermal-paste,speakers,power-supply,video-card,cpu-cooler,ups,motherboard,case-fan,monitor
,Intel Xeon E3-1230,,,ADATA XPG GAMMIX S5,,PNY XLR8 Gaming EPIC-X RGB 32 GB,AvP Arion RGB,Panasonic RP-HJE190-W,Microsoft Wired Desktop 400 UK,,,,,HP X3000,,,,NZXT C (2019),MSI GTX 1070 TI TITANIUM 8G,Alphacool Eisbaer 420,,Gigabyte B560 AORUS PRO AX,SilentiumPC Sigma Pro 140,Samsung T55
,Intel Xeon E5-2687W V2,,,Samsung 850 Evo,,Klevv CRAS X RGB 32 GB,Antec NX210,Sennheiser Momentum Blue,Razer DeathStalker Chroma,,,,,Microsoft D58-00041,,,,Thermaltake Smart Pro RGB,Zotac MINI,ID-COOLING IS-27i,,MSI MEG Z690 UNIFY-X,darkFlash CF8 Pro 3-Pack,Asus ROG SWIFT PG348Q
,Intel Celeron G1840,,,ADATA SU635,,Corsair Vengeance RGB 64 GB,Aerocool AirHawk Duo,Skullcandy S6HSDY-210,Razer BlackWidow Tournament Edition Chroma,,,,,Cobra E-Blue Mazer,,,,Corsair Vengeance 650M,MSI GAMING Z TRIO,ID-COOLING ZOOMFLOW 240 XT,,ASRock B660M Pro RS/ax,Silverstone Air Slimmer,MSI Optix MAG271CQR
,Intel Pentium G3450,,,Seagate Exos X16,,Patriot Viper 4 Blackout 8 GB,SilentiumPC Armis AR1,Skullcandy PLYR 2,Corsair K70,,,,,Cobra AULA Ghost Shark Gaming Mouse,,,,GAMDIAS KRATOS M1 B,Gigabyte GAMING OC 3X,Corsair H150,,Asus PRIME B560M-A AC,Corsair ML140 LED ELITE Red Premium,Dell P2217H
,Intel Xeon E5-2687W V3,,,KIOXIA EXCERIA,,Corsair Vengeance RGB 64 GB,Phanteks Eclipse P500A D-RGB,Philips SHE2648/27,SMK-Link VP3810,,,,,Ergoguys 0090-0030,,,,NOX Hummer GD,EVGA SC GAMING,be quiet! Shadow Rock TF 2,,Asus TUF GAMING X570-PRO WIFI II,Fractal Design Dynamic X2,Asus VP32UQ
,AMD A10-7870K,,,Seagate BarraCuda Pro,,Kingston HyperX Fury 8 GB,Jonsbo D31 STD,Philips SHQ1000/28,Ducky Ducky Shine 5 RGB,,,,,Logitech Zone Touch Mouse T400,,,,Cooler Master Silent Pro Gold,PNY VCG16606SSFPPB,ARCTIC Freezer 34 eSports,,Asus WS C246 PRO,Scythe Kaze Flex II,MSI Optix MAG342CQ
,Intel Xeon E3-1220 V5,,,Western Digital Purple,,Kingston HyperX Fury 4 GB,Thermaltake CTE C750 Air ARGB,Philips SHS5200/28,EagleTec KG010,,,,,Logitech T631,,,,G.Skill PS750G,Asus ROG STRIX OC,Asus ROG RYUO 120 RGB,,ASRock X399 Taichi,Gelid Solutions Stella Frost,LG 32UN550-W
,Intel Core i7-6850K,,,Seagate BarraCuda Q5,,G.Skill Flare X5 64 GB,Thermaltake V150,RCA HP57N,EagleTec KG011,,,,,Mionix NAOS 7000,,,,Montech CENTURY,Gigabyte GAMING OC,Deepcool AG500 ARGB,,MSI PRO B760-VC WIFI,In Win Sirius Extreme Pure ASE120P 3-Pack,ViewSonic VA2759-smh
,Intel Core i7-7800X,,,Inland QN322,,TEAMGROUP T-Force Delta RGB 64 GB,Cooler Master Masterbox 520,Audio-Technica ATH-T200,Corsair STRAFE MX Silent,,,,,Thermaltake Level 10 M,,,,Silverstone SFX,Asus TUF GAMING,Dynatron R24,,Supermicro X10DRL-i,In Win Sirius Loop ASL,iiyama GB2770QSU-B1
,Intel Core i3-8350K,,,Seagate ST500VT000,,G.Skill Trident Z Royal 256 GB,Silverstone ML05B,Beyerdynamic DT440,Cooler Master Lite L,,,,,Adesso iMouse E1,,,,Cooler Master MWE GOLD 650 V2,Zotac ZT-71115-20L,Deepcool GAMMAXX 400 White,,ASRock B360M Pro4,Thermaltake Riing,Asus ROG Strix XG27UQ
,AMD Athlon II X2 220,,,Kingston NV1,,GeIL Orion RGB AMD Edition 32 GB,Vetroo AL-MESH-7C,Beyerdynamic T 90,Cooler Master MasterKeys Pro L,,,,,Cobra Cobra Type-M,,,,Deepcool PX-G,Asus ROG STRIX,Noctua NH-U12P SE2,,Asus M4N68T-M V2,Cooler Master MasterFan MF140R,Philips 328E1CA
,AMD Phenom II X4 830,,,ADATA XPG SX6000 Pro,,Corsair Vengeance 32 GB,Cooler Master HAF X,Koss KPH7W,Corsair K70 LUX RGB,,,,,Cobra Mazer Type-L,,,,SeaSonic Prime Fanless PX-450,PowerColor AXRX 5700XT 8GBD6-3DH,Alphacool Eisbaer 360,,Asus PRIME B760M-A AX D4,CRYORIG QF Performance,Dell P2422H
,Intel Celeron G530,,,HP EX950,,Mushkin Enhanced Redline Stiletto 16 GB,Montech X1,Koss 164260,Razer BlackWidow Chroma V2,,,,,Microsoft U7Z-00041,,,,Cooler Master MWE Bronze 550,Asus STRIX GAMING OC,CRYORIG H5 Universal,,Asus CROSSHAIR VI HERO,Aerocool DS,Dell P2018H
,AMD A10-6700,,,Timetec 30TT253X2,,G.Skill Ripjaws V 16 GB,Apevia Enzo,Koss 184515,Microsoft EKZ-00001,,,,,Microsoft U7Z-00031,,,,Corsair AX860i,ASRock Radeon RX 6800 XT 16G,ID-COOLING FROSTFLOW 240 XT,,MSI MPG Z590 GAMING CARBON WIFI,Zalman F1,AOC AG274QG
