external-hard-drive,cpu,wired-network-card,webcam,internal-hard-drive,case-accessory,memory,case,headphones,keyboard,fan-controller,optical-drive,os,sound-card,mouse,wireless-network-card,thermal-paste,speakers,power-supply,video-card,cpu-cooler,ups,motherboard,case-fan,monitor
,AMD A4-7300,,,Lexar NM610PRO,,Patriot Viper Black 32 GB,Fractal Design Define 7,Koss KSC21,SteelSeries Apex M750,,,,,Logitech 910-004021,,,,Antec CSK,Inno3D AX Gaming X3W,Jonsbo HX6250,,Asus TUF B450M-PRO GAMING,Enermax T.B. Silence Adv,Acer Predator X34
,Intel Core 2 Extreme QX6700,,,Gigabyte Gen3 2500E,,Corsair Vengeance RGB Pro 16 GB,Thermaltake The Tower 200,Logitech Ultimate Ears 200,Dell U473D,,,,,HP QY778AA,,,,Silverstone Strider,Asus Phoenix OC,Thermaltake CLP0556-B,,Asus PRIME H410M-E,Antec Fusion 120 ARGB White,MSI Optix G321CQP
,Intel Xeon E3-1245 V2,,,Crucial MX100,,Corsair Vengeance RGB RT 16 GB,Fractal Design Define 7 XL Light,Plantronics Blackwire C520,Zalman ZM-K600S,,,,,MSI DS200,,,,Sparkle FSP350-60GNV,Gigabyte AORUS XTREME,Noua Jotun,,Gigabyte GA-A320M-S2H V2,Phanteks F140TS,Acer XF273 Zbmiiprx
,Intel Xeon E5-2630L V3,,,Western Digital WDS100T1XHE w/Heatsink,,ADATA XPG GAMMIX D45 32 GB,MSI MAG FORGE 111R,Shure SE215,Gigabyte FORCE K83,,,,,Cooler Master Mizar,,,,GameMax GM,GALAX (1-click OC),Cooler Master Hyper 212 Plus,,Asus P8Z77-V PRO,NoiseBlocker ELoop B,iiyama G-MASTER BLACK HAWK
,Intel Xeon E-2134,,,Western Digital Blue SA510,,G.Skill Trident Z5 Neo RGB 32 GB,Phanteks Evolv X,Sony MDR7520,SteelSeries Apex M500,,,,,Corsair M65 RGB,,,,Segotep GM,Asus Phoenix EVO,Cooler Master MasterLiquid Pro 280,,Asus MAXIMUS IX HERO,ARCTIC F12 PST 5-Pack,Asus ROG Swift PG258Q
,Intel Core 2 Duo E8500,,,Western Digital Blue,,Corsair Vengeance LPX 16 GB,Zalman Z3 Iceberg,Audio-Technica ATH-P1,HP HyperX Alloy Elite,,,,,Gigabyte M6880,,,,SeaSonic G,Asus ROG STRIX GAMING OC V2,Jonsbo HX4170D,,Gigabyte X570 AORUS XTREME,Cooler Master MasterFan Pro Air Flow,Dell Alienware AW3418HW
,Intel Core i5-661,,,TEAMGROUP T-Force Delta Max White RGB Lite,,Corsair Vengeance 96 GB,Silverstone FARA H1M,Corsair Vengeance 2100,HAVIT HV-KB380L,,,,,Evoluent VerticalMouse 4 Right,,,,SHARKOON SilentStorm,EVGA SC ULTRA GAMING,Vetroo U6 Pro,,MSI Z270 SLI PLUS,BitFenix Spectre Pro,Acer VG270U Pbmiipx
,Intel Core i7-860,,,Micron 5200 Ion,,Kingston FURY Renegade 32 GB,Apevia CRUSADER-F-PK,Creative Labs HS-720,Tecware Phantom RGB,,,,,Logitech M320,,,,EVGA SuperNOVA 750 P6,MSI VENTUS OC,Jonsbo HP-400,,Asus ROG STRIX B660-A GAMING WIFI,Reeven Coldwing,Asus ROG SWIFT PG279QZ
,AMD Phenom II X4 940 Black,,,Samsung 840 Evo,,Patriot Signature Line 8 GB,ADATA XPG STARKER AIR,Creative Labs HS-800 Fatal1ty,Ducky One 2 Mini,,,,,Razer Naga Epic Chroma,,,,be quiet! Pure Power 11 CM,Gigabyte GAMING OC Rev 2.0,Thermaltake TOUGHLIQUID ARGB,,MSI X370 GAMING PRO CARBON,Deepcool CF,AOC CQ27G1
,AMD Phenom II X4 970 Black,,,Western Digital Blue Mobile,,G.Skill Trident Z Neo 16 GB,Corsair Obsidian Series 750D,Logitech 960,Leopold FC980CEW,,,,,Azza Diablo,,,,Thermaltake Smart,Palit GamingPro,Silverstone PF240-ARGB,,Gigabyte X570 UD,Apevia FrostBlade 4-Pack,Acer Nitro VG252Q P
,AMD Sempron 140,,,Seagate IronWolf Pro,,Patriot Viper 4 Blackout 16 GB,Thermaltake Core W100,Philips SHE7005A/28,Redragon K552-N,,,,,Thermaltake THERON Plus+,,,,EVGA 500 BA,Asus TUF Gaming X3 EVO OC,Intel BXRTS2011LC,,Biostar B450NH,Iceberg Thermal IceGALE,AOC 24G2E5
,Intel Pentium E5800,,,Apacer AS350 PANTHER,,Corsair Vengeance RGB 32 GB,Thermaltake View 200 TG ARGB,TekNmotion PulseWave • V2,Topre Realforce RGB,,,,,Asus STRIX CLAW,,,,be quiet! Straight Power 12,Palit StormX OC,SilentiumPC Spartan 3 LT HE1012,,Gigabyte B660 AORUS Master DDR4,ARCTIC F12 CO,Samsung CF391
,AMD Phenom II X4 960T Black,,,Western Digital Blue Mobile,,G.Skill Trident Z5 RGB 48 GB,Corsair Carbide Series SPEC-04,Plantronics RIG,Corsair K83,,,,,Func MS-2,,,,be quiet! Straight Power 12,EVGA FTW3 ULTRA GAMING iCX3,ID-COOLING ZOOMFLOW 240,,Asus ROG MAXIMUS X HERO (WI-FI AC),Thermaltake Riing 3-Pack,Acer KG272 Bmiix
,AMD A8-3850,,,Transcend TS32GSSD370S,,Corsair Vengeance RGB 64 GB,NZXT H710i,Plantronics Gamecom 380,Ducky One 2 (MX Brown),,,,,Thermaltake BLACK V2,,,,Cooler Master MWE 500,Sapphire 11256-00,Thermaltake TOUGHLIQUID ARGB,,ASRock Z370 Extreme4,Nexus D12SL-12WL,BenQ EW3270U
,AMD Athlon II X4 645,,,Kingston SSDNow KC400,,Corsair Dominator Platinum RGB 16 GB,Corsair Obsidian Series 450D,ROCCAT Kave XTD 5.1 Premium,Ducky One 2 (MX Blue),,,,,Thermaltake VENTUS,,,,Thermaltake Smart RGB,Gigabyte GAMING,ID-COOLING SE-234-ARGB,,Asus TUF GAMING B760M-PLUS D4,Corsair SP120,ViewSonic VX3276-4K-MHD
,AMD FX-4170,,,Western Digital Black PCIe,,G.Skill Trident Z5 RGB 96 GB,Cooler Master HAF 500,GAMDIAS HEBE,AUKEY KM-G9,,,,,AZIO EXO1-K,,,,NZXT C (2019),EVGA XC ULTRA GAMING,MSI Core Frozr XL,,Gigabyte B450M GAMING,Logisys CF120RD,VIOTEK GN24CB
,Intel Pentium G645,,,Corsair MP600 PRO,,TEAMGROUP T-Force Delta RGB 32 GB,Silverstone ML03B,Philips SHL5305TL/28,Velocifire VM01,,,,,Turtle Beach Grip 300,,,,Gigabyte B700H,PowerColor Hellhound,Gigabyte AORUS LIQUID COOLER,,ASRock B550M/ac,Fractal Design Prisma AL 3-Pack,Dell S2716DGR
,Intel Xeon E3-1270,,,Inland Gaming Performance Plus,,Patriot Signature Premium 8 GB,Cooler Master Silencio S600,Ozone Gaming OZONDAST,iKBC CD108,,,,,Turtle Beach Grip 500,,,,Corsair CS550M,Inno3D X3 OC,Alphacool Eisbaer Aurora 360,,Gigabyte B560M AORUS PRO AX,ARCTIC F9,Acer VG240Y Pbiip
,Intel Xeon E3-1245 V3,,,PNY CS2230,,G.Skill Aegis 8 GB,Corsair Crystal Series 280X,Razer Chimaera,Trust GXT 890 CADA RGB,,,,,Kensington Pro Fit Wired Mid-Size Mouse USB,,,,EVGA SuperNOVA 1000 P5,Asus TUF GAMING OC,Silverstone AR06,,MSI MEG X570 ACE,Scythe Kaze Flex,AOC AG254FG
,AMD FX-4100,,,Western Digital Red Pro,,Mushkin Enhanced Redline Stiletto 64 GB,Zalman R2,Sennheiser GAME ONE,Cooler Master CK550,,,,,Kensington Pro Fit Mid-Size Mouse,,,,Xilence XP1050MR9,XFX Speedster SWFT 319,Alphacool Eisbaer Pro Aurora,,ASRock A320M-HDV,Scythe Kaze Flex II,Asus ROG SWIFT PG248Q
,AMD Athlon X4 840,,,Western Digital Black SN750,,Corsair Vengeance RGB Pro SL 32 GB,Jonsbo VR4,Razer Kraken Pro Neon,Leopold FC750R Black PD,,,,,Kensington Pro Fit Mid-Size Mouse,,,,Deepcool PM650D,EVGA Black,ARCTIC Liquid Freezer II 280 RGB,,Gigabyte GA-Z170X-UD5,Akasa Viper,Samsung C27FG73
,Intel Xeon E5-2640 V3,,,Kingston A400,,TEAMGROUP Elite 8 GB,Silverstone RVZ03,Razer Kraken Pro Neon,GameSir GK300-GY,,,,,Etekcity Scroll 6E,,,,GAMDIAS KRATOS P1 G,Inno3D iChill X3,Silverstone NT07-115X,,Asus ROG STRIX Z590-I GAMING WIFI,Phanteks F140MP,Samsung C27F591
,AMD Athlon 5370,,,Western Digital Red Pro,,Corsair Vengeance LPX 32 GB,BitFenix Tracery,Corsair Raptor HS30,Wooting Wooting Two,,,,,Etekcity SCROLL S200,,,,EVGA 750 N1,Zotac GAMING Twin Edge OC,Cooler Master MasterAir MA610P,,MSI MEG Z390 GODLIKE,Iceberg Thermal IceGALE,Acer XR343CK PBMIIPPHUZX
,Intel Xeon E3-1240 V6,,,Toshiba P300,,G.Skill Trident Z 32 GB,Enermax MarbleShell M MS20 ARGB,Logitech H600,Asus TUF Gaming K7,,,,,Logitech M325c,,,,ADATA XPG PYLON,Gigabyte MINI ITX OC,SilentiumPC Fortis 5 ARGB,,MSI X99A SLI PLUS,Corsair SP120 Quiet 2-Pack,MSI Modern MD241PW
,Intel Xeon E3-1285 V6,,,Western Digital Red,,Corsair Vengeance RGB Pro 16 GB,Thermaltake AH T600 Snow,Creative Labs Aurvana Live!,Corsair K65 RGB MINI WATERMELON BLAST,,,,,Logitech M325 Spontaneous Pink,,,,Thermaltake Smart BX1 RGB 750,Gigabyte AORUS MASTER,Aerocool P7-L240,,Asus Sabertooth 990FX R2.0,Cooler Master Blade Master,Acer V227Q bi
,Intel Core i5-9400,,,ADATA LEGEND 700,,OLOy Blade RGB 32 GB,Jonsbo TK-1,Asus STRIX PRO,Logitech G413 SE,,,,,Logitech M325 Moody Mint,,,,FSP Group HYPER K PRO,MSI GeForce RTX 3070 SUPRIM X 8G,GameMax Gamma 500 ARGB,,Gigabyte Z690 GAMING X,BitFenix Spectre Pro,Pixio PX277PRO
,Intel Core i5-9600,,,SanDisk Ultra 3D,,Corsair Vengeance RGB Pro SL 64 GB,Corsair Carbide Series 400C,Philips SHG7980,Razer Pro Type Ultra - ES,,,,,Asus ROG Sica,,,,Azza PSAZ-650B14,PNY VCQRTX5000-PB,ADATA XPG LEVANTE 360,,Gigabyte Z390 I AORUS PRO WIFI,Corsair SP120 2-Pack,Acer KC242Y Abi
,Intel Xeon E-2276G,,,TEAMGROUP MS30,,Corsair Vengeance LPX 16 GB,NZXT H500i,Plantronics GAMECOM COMMANDER,Logitech MX KEYS MINI,,,,,Kensington k72110us,,,,NZXT HALE82 V2 550W,Zotac GAMING Trinity OC,Cooler Master Hyper 212X EU Version,,Gigabyte B460M DS3H V2,Fractal Design Silent R2,Acer XZ320Q Xbmiiphx
,Intel Xeon E-2236,,,Micron 1100,,Kingston HyperX Fury RGB 16 GB,Antec Dark Phantom DP502 Flux,Syba CL-AUD63089,Keychron K5 SE,,,,,TekNmotion TM-NIBM1,,,,PC Power & Cooling Silencer,NVIDIA 9001G4012500000,PC Cooler GI-D66A,,NZXT N7 Z490,Antec Prizm 2+C 2-Pack,ViewSonic VX3268-2KPC-MHD
,Intel Pentium E6500,,,Western Digital VelociRaptor,,Kingston FURY Beast 32 GB,Antec P120 Crystal,Thermaltake DRACCO Funky Pink,Keychron V6 QMK,,,,,TekNmotion Nibiru M2,,,,Phanteks AMP,Asus DUAL,Asus TUF Gaming LC 240 RGB,,MSI B550M-A PRO,Enermax HF120 3-Pack,Acer ED242QR Abidpx
,Intel Xeon E5-2609,,,TEAMGROUP MP44L,,Crucial Ballistix 16 GB,Thermaltake Versa H15,Corsair VOID,Keychron V6 QMK,,,,,Logitech M535,,,,Cooler Master MWE Bronze V2,NVIDIA 900-1G500-2500-000,Asus ROG RYUO III 240 ARGB WHITE EDITION,,MSI Z97 PC MATE,ID-COOLING XF-12025-SW,Acer EB321HQ Abi
,Intel Xeon E5-2640,,,Corsair MP600 CORE,,Kingston FURY Beast 8 GB,Corsair Carbide Series 275R,Astro A40,DROP MDX-31827-11,,,,,A4Tech Bloody TL8 Terminator,,,,Thermaltake Toughpower Grand RGB 650 SE,Sapphire NITRO+ SE,ARCTIC Freezer 11 LP,,MSI B365M PRO-VDH,ID-COOLING TF-12025-ARGB-SNOW,Asus TUF Gaming VG35VQ
,Intel Xeon E5-2643 V3,,,Toshiba DT01ACA300,,Corsair Vengeance LPX 128 GB,Silverstone Milo 12,Razer Kraken Pro 2015,Cherry G84-4100LCMUS-0,,,,,Corsair SABRE RGB,,,,be quiet! Pure Power 10,Asus DUAL OC,Asus ROG Strix LC 240,,Asus Z170I PRO GAMING,ARCTIC F8 PWM PST CO,Asus VZ279HE
,Intel Xeon E5-1620 V4,,,MSI SPATIUM M390,,G.Skill Ripjaws V 32 GB,KOLINK VOID X ARGB,ROCCAT ANALOG,Kensington Pro Fit,,,,,Genius NX-7000,,,,EVGA SuperNOVA 650 GS,Zotac GAMING Trinity OC,ARCTIC Freezer 34 CO,,Asus ROG STRIX TRX40-XE GAMING,BitFenix Spectre Pro,Asus TUF Gaming VG27VH1BR
,AMD Athlon II X2 215,,,Intel DC P3608,,Kingston HyperX Predator 16 GB,NZXT H500i,Bose AE2,AZIO MK RETRO,,,,,Corsair M65 RGB,,,,Cougar VTX,Zotac MINI,SilenX EFZ-92HA2,,Asus STRIX Z270F,In Win Mercury AM120S 3-Pack,LG 27UK650-W
,Intel Pentium E5400,,,Lexar NM610,,Kingston FURY Beast RGB 32 GB,Cougar MX331 MESH-X,A4Tech G500,Tripp Lite IN3010KB,,,,,Microsoft 3600,,,,Corsair RM850,Gigabyte EAGLE,Evercool LGAL1156A-B715,,Gigabyte H510M K,NoiseBlocker NB-ELOOP X ARGB,Asus VE248H
,AMD Phenom II X4 840,,,Seagate ST1000DX001,,TEAMGROUP T-Force Delta RGB 32 GB,Vetroo AL600,Plantronics RIG 500HD,Cooler Master MK730,,,,,Corsair KATAR,,,,EVGA SuperNOVA 650 P6,Inno3D Twin X2,Enermax LIQTECH TR4 II 360,,ASRock Z370 Pro4,Thermaltake TOUGHFAN,Dell UltraSharp U3419W
,AMD Phenom II X4 965,,,Sabrent Rocket 4.0 HTSK,,Corsair Vengeance LPX 32 GB,Silverstone SUGO 15,Plantronics BackBeat PRO,Verbatim 99789,,,,,Microsoft Wireless Mobile Mouse 3500,,,,SeaSonic PRIME PX,MSI D6 GAMING X,CRYORIG R1 Ultimate,,ASRock B560M Pro4,ADATA Vento 3-Pack,MSI MAG ARTYMIS 324CP
,AMD A6-3650,,,KingSpec NX-2280,,Thermaltake TOUGHRAM XG RGB D5 32 GB,Fractal Design Define S,SteelSeries Siberia 840,Kensington K72357US,,,,,Microsoft 900,,,,Silverstone Strider Platinum,Gigabyte VISION OC Rev 2.0,Cooler Master V8 GTS,,Biostar B450MH,Corsair AF140 (2018),BenQ GW2270
,AMD FX-8100,,,Western Digital WDBSLA0020HNC-NRSN,,G.Skill Ripjaws X 16 GB,Silverstone RM42-502,Fostex TH-900,HP DT527A#ABA,,,,,ROCCAT Kova,,,,be quiet! Pure Power 11 FM 850,Gigabyte EAGLE,ID-COOLING ZOOMFLOW 240 XT SNOW,,Gigabyte Z590 UD,Noctua R8 PWM,Samsung LC32F391FWNXZA
,Intel Xeon E3-1245,,,Intenso 3812450,,Samsung M393A8G40MB2-CVF 64 GB,Cooler Master MasterBox K501L,Astro A50 + Base Station XB1,EVGA Z10 (Kailh Blue),,,,,SteelSeries Rival 100,,,,Cooler Master V1000,ASRock Phantom Gaming D OC,Thermalright TRUE Spirit 140 Direct,,Asus Sabertooth X79,Nexus D12SL-12PWM,Asus MG248Q
,Intel Xeon E3-1275,,,Sabrent Rocket,,Corsair Vengeance LPX 32 GB,Lian Li LanCool PC-K57,Sennheiser GSP 350,Monoprice Dark Matter Collider,,,,,Gear Head MP2100NOR,,,,SilentiumPC Vero L2,Asus STRIX GAMING OC,Alpenföhn Brocken 4,,ECS KAM1-I(1.0),NoiseBlocker ELoop B,Acer Predator XB273K Pbmiphzx
,Intel Pentium G3430,,,Intel SSDPEDMD020T401,,TEAMGROUP T-Force Dark Za 16 GB,Fractal Design Define R6,Corsair HS50,Razer BlackWidow V4 Pro,,,,,FinalMouse Tournament Pro 2016,,,,Cooler Master G600,EVGA SSC ACX 2.0+,Cooler Master Hyper 412S,,ASRock B560M-HDV,StarTech FAN9X25TX3H,Samsung C27JG56
,Intel Pentium G2140,,,Micron 7400 PRO,,Corsair Vengeance RGB Pro SL 32 GB,Jonsbo D41 Mesh Screen,Panasonic RP-HJE125-D,Microsoft Wireless Desktop 2000,,,,,Dell WM126,,,,Enermax Platimax D.F.,Sapphire NITRO+ SE,CRYORIG H5 Ultimate,,Asus TUF GAMING B560-PLUS WIFI,StarTech FANBOX,Alienware AW5520QF
,Intel Xeon E5-2609 V2,,,Seagate Exos X20,,Corsair Vengeance LPX 32 GB,Fractal Design Define 7 Compact,Panasonic RP-HJE125-V,Logitech Call of Duty: MW3 Edition,,,,,Cobra CORBA JUNOR,,,,Thermaltake Toughpower,Gigabyte GAMING 8G,NZXT Kraken X40,,ASRock Z390 Phantom Gaming 4S,Akasa Viper,LG 27MP40W-B
,Intel Core i3-4350,,,Acer SA100,,Kingston Renegade Silver 32 GB,CiT MTX-007B,Etekcity Scroll H5GX,A4Tech 3100N,,,,,Cobra Mazer,,,,ARESGAME AGS,Asus KO Gaming OC,Prolimatech PRO-SAM17,,MSI Z97S SLI Krait Edition,Aerocool Shark,Asus ProArt Display PA328QV
,Intel Core i7-5930K,,,Seagate IronWolf 125,,Kingston Fury Renegade RGB 32 GB,Silverstone DS380B,Turtle Beach Stealth 420X,Filco Ninja Majestouch-2,,,,,Das Keyboard Division Zero M50,,,,FSP Group Hydro G PRO ATX3.0(PCIe5.0),MSI SUPRIM X,Deepcool GAMMAXX 400S,,Asus ROG STRIX Z370-F GAMING,Corsair HD140,MSI Optix MPG341CQR
,Intel Xeon E5-1680 V3,,,Hitachi A7K1000-1000,,G.Skill Trident Z5 Neo RGB 64 GB,MSI MAG FORGE 110R,Corsair HS70,Logitech Desktop MK120-TAA LOG920004218,,,,,Zowie ZA12,,,,Super Flower Golden Green HX,Asus Phoenix OC,ARCTIC Freezer 33 eSports ONE (Black/Red),,MSI A320M PRO-VH,Cooler Master MasterFan SF120M,NZXT Canvas 27Q
,Intel Core i3-3240,,,Western Digital Red SA500,,TEAMGROUP T-Force Vulcan Z 32 GB,SHARKOON PURE STEEL RGB,Corsair HS70,Zalman K400G,,,,,Zowie ZA13,,,,Thermaltake Toughpower GF1 Snow - TT Premium,MSI GeForce RTX 2080 TI VENTUS 11G OC,Deepcool Castle 240 RGB,,Gigabyte Z690M AORUS ELITE AX DDR4,Iceberg Thermal IceGALE Xtra,Acer ED273 Abidpx
,Intel Core i5-6400T,,,Corsair MP600,,TEAMGROUP T-Force Delta RGB 32 GB,Fractal Design Pop Silent,Razer Electra V2,Perixx 10532,,,,,MSI INTERCEPTOR DS300,,,,FSP Group Hydro G Pro,MSI VENTUS XS OC,NoFan CR-80EH,,Asus TUF B360M-PLUS GAMING,ID-COOLING TF-12025-ARGB,BenQ ZOWIE XL2746K
,Intel Core i5-6500T,,,Western Digital Red,,Thermaltake TOUGHRAM RGB 16 GB,Corsair Carbide Series 100R,Sony MDRXB550AP/L,Adesso SlimTouch 110,,,,,Asus Cerberus,,,,Apex AL-8250SFX,Asus ROG STRIX GAMING OC,TEAMGROUP SIREN GD360E,,Asus ROG MAXIMUS XI FORMULA,Alpenföhn JetStream 3-Pack,Lenovo L24q-30
,Intel Pentium G4400,,,Seagate IronWolf NAS,,Patriot Viper 4 Blackout 32 GB,Corsair Carbide Series 100R,Logitech G433 (Camo Blue),Kensington K72357USA,,,,,TeckNet Raptor Pro,,,,Cooler Master V850 Gold V2,Zotac GAMING AMP Extreme AIRO,ARCTIC Alpine 11 Pro Rev. 2,,MSI MAG B560 TORPEDO,Corsair AF120 Performance 2-Pack,Acer XV272U Kvbmiiprzx
,Intel Xeon E3-1235L V5,,,Western Digital Caviar Blue,,ADATA XPG LANCER RGB 32 GB,Antec NX100,HP HyperX Cloud Alpha Cloud 9 Edition,Adesso SlimTouch 510,,,,,Redragon M702 Phoenix,,,,Deepcool DQ650-M-V2L,MSI Radeon RX 5700 8G,Akasa Vegas Chroma LG,,NZXT N7 Z590,Cooler Master Blade Master,NZXT Canvas 32Q
,Intel Core i7-6900K,,,TEAMGROUP GX1,,Corsair Vengeance RGB Pro SL 64 GB,MSI MPG Quietude 100S,Avermedia SonicWave 7.1 GH337,Logitech G410 Atlas Spectrum,,,,,Speedlink DECUS,,,,Xigmatek NRP-PC602,PowerColor Hellhound Spectral,Scythe Kotetsu Mark II,,Gigabyte GA-Z97X-SLI,NZXT Air Flow,Acer Predator XB272 bmiprz
,Intel Celeron G3930,,,ADATA LEGEND 960 MAX,,Kingston ValueRAM 16 GB,Silverstone SG13,Creative Labs SUPER X-FI AIR,Razer BlackWidow Chroma Call of Duty: Black Ops III Edition,,,,,HP X3500,,,,EVGA 450 W3,Zotac GAMING,Azza Blizzard SP 360,,Gigabyte H410M H,Antec Two Cool,Philips 27E1N8900
,Intel Core i5-7640X,,,Corsair MP600 PRO LPX,,Patriot Viper Elite II 8 GB,CiT RAIDER RGB,Cougar IMMERSA TI,Adesso WKB-4040UB,,,,,Logitech MX MASTER 2S (Blue),,,,Enhance ENP-7660,Zotac GAMING,NZXT Kraken X42 Rev 2,,ASRock B250M Pro4,Apevia CF12SL-SRD,Samsung S61B
,Intel Xeon E5-2430V2,,,Intel 710,,TEAMGROUP T-Force Vulcan Z 32 GB,Phanteks Enthoo Pro M TG,HP OMEN Mindframe,IOGEAR KeyMander KORE,,,,,Cougar Minos X2,,,,Corsair VS450,XFX Speedster MERC 319 Black,NZXT Kraken X52 Rev 2,,Gigabyte B365M DS3H WIFI,Phanteks F120MP,Samsung SR356
,Intel Core i3-8300T,,,Western Digital Blue SN500,,G.Skill Aegis 16 GB,Jonsbo D31 MESH Screen,Audio-Technica ATH-SR30BTGY,Kensington K72344US,,,,,Cooler Master MasterMouse MM520,,,,Fractal Design Anode Bronze,PNY VCGGT7102XPB,Asus ROG Strix LC 120,,Gigabyte Z390 AORUS PRO,Fractal Design Venturi HP-12,MSI Creator PS321QR
,Intel Xeon E-2246G,,,Seagate BarraCuda 120,,G.Skill Trident Z5 RGB 32 GB,GameMax Contac Turbo COC,Audio-Technica SonicFuel CLR100iS,Mistel BAROCCO MD770,,,,,ACGAM G402,,,,FSP Group Dagger Pro,MSI AERO ITX 2GD4 OC,ID-COOLING SE-207-XT ADVANCED,,Asus ROG Crosshair VII Hero,Kingwin CFBL-08LB,MSI G253PF
,AMD Opteron 6320,,,Corsair MP400,,PNY XLR8 Gaming EPIC-X RGB 16 GB,Lian Li PC-O11 Air,Turtle Beach Earforce Stealth 450 USB,Kinesis Gaming Freestyle Edge,,,,,Redragon INQUISITOR M716,,,,SeaSonic VERTEX PX-1200,Palit GamingPro,CRYORIG M9 Plus,,MSI H110M Gaming,Phanteks F120MP,Samsung S33A
,AMD A4-3400,,,Hitachi Ultrastar SN260,,Kingston FURY Beast RGB 32 GB,Fractal Design Meshify 2,Trust GXT 322 CARUS,Das Keyboard 4C,,,,,Cougar 700M EVO RGB,,,,SeaSonic Core GC,Gigabyte EAGLE,Xigmatek GAIA SD1283,,Gigabyte Z370N WIFI,NZXT Aer RGB,Dell P190S
,Intel Celeron E3400,,,Inland Performance Plus,,Corsair Vengeance RGB Pro 16 GB,Thermaltake The Tower 100,Trust GXT 322D Carus,Asus TUF Gaming K3,,,,,Razer Atheris Stormtrooper,,,,PowerSpec PSX 850GFM,MSI GTX 1050 TI 4GT LP,ADATA XPG LEVANTE 240,,Asus PRIME B365M-K,Cooler Master MasterFan Pro Air Pressure,Acer XV272 Mbmiiprx
,Intel Pentium G6950,,,SanDisk Ultra II,,Klevv CRAS X RGB 16 GB,In Win Chopin,DROP Massdrop x MEE Audio Planamic,Logitech MX KEYS MINI,,,,,Mionix Avior French Fries,,,,SeaSonic PRIME Ultra Platinum 750,MSI GAMING X TRIO,Corsair H100,,Asus PRIME H610M-D D4,NZXT Aer F,Dell P2319H
,AMD Phenom II X6 1035T,,,Seagate BarraCuda,,Patriot Viper Steel RGB 32 GB,Thermaltake Divider 370 TG ARGB,DROP Massdrop Plus Universal IEM,Redragon KALA K557,,,,,Mad Catz The Authentic R.A.T 4+,,,,Silverstone FX500-G,XFX THICC II Pro,Noctua NH-D14 SE2011,,Gigabyte GA-F2A78M-HD2,Lian Li Bora Lite 3-Pack,HP Omen 27
,AMD Pro A10-7850B,,,MSI SPATIUM M480 PLAY,,Corsair Dominator Platinum RGB 32 GB,NZXT H210,Biostar iDEQ N20,Microsoft E6K-00001,,,,,Mionix Avior Ice Cream,,,,Thermaltake Toughpower PF3,Asus GT730-SL-2GD5-BRK,ARCTIC Alpine M1,,Gigabyte B450M H,Mars Gaming MFRGBKIT 3-Pack,Acer ED323QUR Abidpx
,Intel Core i3-7300T,,,Seagate Lightsaber Collection FireCuda,,Corsair Vengeance RGB 32 GB,In Win 101,JBL Quantum 100,Adesso AKB-310UB,,,,,Zowie EC2-B CS:GO,,,,LEPA MaxBron,Zotac AMP Core,Scythe FUMA Rev.B,,Gigabyte B760M GAMING DDR4,EK Vardar EVO 120ER 2-Pack,HP X24c
,Intel Core i5-3550S,,,SanDisk Ultra 3D,,Crucial Ballistix 32 GB,Segotep Phoenix,Final Piano Forte X,Adesso AKB-131HB,,,,,Logitech M325c Skate Burger,,,,Antec NeoECO Gold ZEN,Asus ROG STRIX,RAIJINTEK JUNO PRO RBW,,Asus Pro B760M-CT-CSM,ID-COOLING XF-12025-ARGB-TRIO SNOW 3-Pack,Dell E2016HV
,Intel Celeron 420,,,Seagate Momentus Thin,,Corsair Dominator Platinum RGB 64 GB,Corsair Obsidian Series 250D,Final SONOROUS III,Ergoguys CD-1038,,,,,Patriot Viper 550,,,,Silverstone Essential,MSI GAMING X,Phanteks Glacier One 240MPH,,Asus ROG STRIX Z590-F GAMING WIFI,EK Loop Fan FPT 140 D-RGB,Acer Predator XB241YU
,AMD Phenom II X4 810,,,Kingston SSDNow V200,,ADATA XPG SPECTRIX D60G 32 GB,Phanteks Enthoo EVOLV ATX,Razer Opus,Adesso AKB-110B,,,,,Logitech M325c Summer Bouquet,,,,SeaSonic FOCUS Plus Platinum,Gigabyte AORUS XTREME,Xilence M906,,Gigabyte GA-H270N-WIFI,Silverstone AP,Acer H236HLbid
,Intel Pentium E2180,,,Seagate BarraCuda,,G.Skill Trident Z5 RGB 64 GB,darkFlash DLM 22,HiFiMAN Deva,Cherry G84-5500LUMEU-0,,,,,Adesso iMouse V10,,,,FSP Group HYPER K PRO,MSI GeForce GTX 1650 SUPER,Deepcool GAMMAXX 300 R,,ASRock H470M-HVS,ARCTIC F,Dell U2417H
,Intel Core 2 Duo E4600,,,Samsung 850 Evo,,G.Skill TridentZ RGB 32 GB,Phanteks Evolv Shift 2,HiFiMAN Edition X V2,Lenovo Keyboard,,,,,Adesso iMouse V10,,,,Corsair TX650,PowerColor Hellhound,Enermax ETS-T40F-TB,,Asus PRIME B650M-A WIFI,Enermax SquA RGB,Philips 273V7QJAB
